filename,type,dev_hours,test_hours,total_hours,description,variation_note
"Merging Shape Files.py","Python",8.0,3.0,11.0,"Merging attributes across shapefiles requires schema resolution, CRS handling and conflict resolution.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"OSP_CleanupTools.lsp","AutoLISP",14.0,5.0,19.0,"Collection of cleanup rules requires many domain-specific checks and iterative fixes.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"PDF Merger (dir)","Utility",5.0,2.5,7.5,"Packaging batch merge with CLI/UI options and handling different PDF versions.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"PRINTPATHAUTO_ver1.lsp","AutoLISP",14.0,5.0,19.0,"Automating print paths must support many sheet naming conventions and output destinations.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"PlaceWaterMainLine_CWM.lsp","AutoLISP",5.0,1.5,6.5,"Specialized placement needs domain rules and alignment with existing network features.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"QGIS_Callouts_Labes export-ver2.2.py","Python",27.0,9.5,36.5,"Complex export requires CRS handling, label collision avoidance and format conversions.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"QGIS_Callouts_Labes export-ver2.3.py","Python",27.0,9.5,36.5,"Updated version with additional rules and backwards compatibility.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Reproject_Layers to EPSG-4326.py","Python",2.5,1.25,3.75,"Batch reprojection needs CRS detection, precision handling and metadata updates.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"SLD (dir)","Styles",5.0,2.5,7.5,"Creating/testing styles across layers requires visual checks and tweaks for many layers.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"SNAP_DROP.LSP","AutoLISP",19.0,7.5,26.5,"Robust snapping/drop logic must be resilient to many geometry and user input scenarios.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"STREET_NAMES.lsp","AutoLISP",5.0,1.5,6.5,"Name placement and labeling rules, font scaling and collision avoidance.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"ST_Convert.lsp","AutoLISP",1.5,0.75,2.25,"Small conversion tool with format checks.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"SelectSewerLayers.lsp","AutoLISP",1.5,0.75,2.25,"Layer selection helper with dataset-specific naming variations to handle.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"SelectSewerLayers_OSCEOLA.lsp","AutoLISP",1.5,0.75,2.25,"Specific dataset variant requires additional testing across that dataset.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"SelectwaterLayers.lsp","AutoLISP",1.5,0.75,2.25,"Similar layer selection helper for water layers.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"TB_ALIGN(WMA).LSP","AutoLISP",10.0,3.0,13.0,"Alignment tool with domain rules, tolerances and exception handling.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Toby_CD (dir)","Collection",10.0,5.0,15.0,"Collection requires integration and consistency checks between tools.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"TransferGPS_STA.lsp","AutoLISP",4.0,1.5,5.5,"GPS station transfer involves coordinate precision and metadata mapping.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"UpdateLength.lsp","AutoLISP",2.5,1.25,3.75,"Updating lengths must be careful about units and attribute consistency.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"WATER_METER_ALIGN(WMA).LSP","AutoLISP",10.0,3.0,13.0,"Water meter alignment needs to account for symbol variants and anchor logic.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"Water Meter_Rotation_DFT.lsp","AutoLISP",4.0,1.5,5.5,"Rotation logic needs geometry checks and rotation anchors handling.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"ftth_automation 1.zip","Zip/tool",37.0,18.0,55.0,"Large automation suite needs to integrate many scripts and handle many dataset permutations.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"updatesheetnumbers.lsp","AutoLISP",11.0,3.0,14.0,"Batch updating sheet numbers requires mapping rules and multiple sheet formats support.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations."
"updatesheetnumbers_ver1.lsp","AutoLISP",4.0,1.5,5.5,"Variant with additional logic and dataset checks.","Estimates are ballpark; actuals vary by dataset, iterations and environment. Development often required many versions (40–60) and iterations.",
